discordHandle,discordID,tikTokLink,uploadDate
amiralax,565622828250955776,https://www.tiktok.com/@amirahmwah/video/7285148417943162143,2023-10-01 19:16:35
joytz,849407895585816617,https://www.tiktok.com/@vaehlyynn/video/7296627269764681002,2023-11-01 17:40:23
darkbanez,328993497610715136,https://www.tiktok.com/@katie.chance1/video/7304721713168682283,2023-11-23 12:10:58
boomer,183258177310031872,https://www.tiktok.com/@bikinibottombroadcast/video/7305392432336899374,2023-11-25 07:33:42
ohhkaythen,620446157729955860,https://www.tiktok.com/@boomer_whistle/video/7306168540438990111,2023-11-27 09:45:23
peachescd_,910306322023591946,https://www.tiktok.com/@hoppingpeaches_/video/7306181123816590634,2023-11-27 10:34:13
peachescd_,910306322023591946,https://www.tiktok.com/@hoppingpeaches_/video/7306182209398918443,2023-11-27 10:38:26
peachescd_,910306322023591946,https://www.tiktok.com/@hoppingpeaches_/video/7306183555162361134,2023-11-27 10:43:39
mannersontop,1170455955188756625,https://www.tiktok.com/@b00mernafan/video/7306498228256509216,2023-11-28 07:04:45
mannersontop,1170455955188756625,https://www.tiktok.com/@b00mernafan/video/7306512152343432480,2023-11-28 07:58:47
wonderlandadventure,583007672505204772,https://www.tiktok.com/@thelibrarysys/video/7306515907847802154,2023-11-28 08:13:21
wonderlandadventure,583007672505204772,https://www.tiktok.com/@thelibrarysys/video/7306518123262348586,2023-11-28 08:21:57
wonderlandadventure,583007672505204772,https://www.tiktok.com/@thelibrarysys/video/7306518123262348586,2023-11-28 08:21:57
ohhkaythen,620446157729955860,https://www.tiktok.com/@boomer_whistle/video/7306525707356736798,2023-11-28 08:51:23
wonderlandadventure,583007672505204772,https://www.tiktok.com/@thelibrarysys/video/7306532575743528238,2023-11-28 09:18:02
peachescd_,910306322023591946,https://www.tiktok.com/@hoppingpeaches_/video/7306670257278700842,2023-11-28 09:18:02
wonderlandadventure,583007672505204772,https://www.tiktok.com/@thelibrarysys/video/7306959199810899242,2023-11-28 09:18:02
wonderlandadventure,583007672505204772,https://www.tiktok.com/@thelibrarysys/video/7306958886882250027,2023-11-28 09:18:02
rh56,656624949326381080,https://www.tiktok.com/@boomer._.fan/video/7308166427003931934,2023-12-02 18:58:13
wonderlandadventure,583007672505204772,https://www.tiktok.com/@librarysys2/video/7307367499333438766,2023-11-28 09:18:02
imsorryidk,812469978716045332,https://www.tiktok.com/@nickolasislesbian/video/7307720034774764831,2023-11-29 09:18:02
zozquity,699069743222751273,https://www.tiktok.com/@zozquity/video/7307739445124467999,2023-12-01 21:40:19
inadequatelijah.,1163204607632228472,https://www.tiktok.com/@inadequatelijah/video/7307758985250131246,2023-12-01 21:40:19
rh56,656624949326381080,https://www.tiktok.com/@boomer._.fan/video/7308092394937814302,2023-12-02 21:40:19
xane09,502969765833342976,https://www.tiktok.com/@rikinishimurashairstrand/video/7308132823687318827,2023-12-02 21:40:19,
inadequatelijah.,1163204607632228472,https://www.tiktok.com/@inadequatelijah/video/7308208200220740907,2023-12-02 21:40:19
rh56,656624949326381080,https://www.tiktok.com/@boomer._.fan/video/7308355769424989470,2023-12-03 07:12:57
zozquity,699069743222751273,https://www.tiktok.com/@zozquity/video/7308422519193603359,2023-12-03 11:31:59
timeziu_3,910306322023591946,https://www.tiktok.com/@townwiez_3/video/7316255175411387690,2023-12-24 14:06:41
timeziu_3,910306322023591946,https://www.tiktok.com/@townwiez_3/video/7316257786474663214,2023-12-24 14:16:49
wonderlandadventure,583007672505204772,https://www.tiktok.com/@thelibrarysys/video/7316239053303598382,2023-12-24 13:04:07
confusedjojo,189176461469417472,https://www.tiktok.com/@confusedjojo/video/7316767208288374058,2023-12-25 23:13:38
rh56,656624949326381080,https://www.tiktok.com/@ytboomerna/video/7316980975467040046,2023-12-26 13:03:10
rh56,656624949326381080,https://www.tiktok.com/@ytboomerna/video/7317035546507742507,2023-12-26 16:34:55
rh56,656624949326381080,https://www.tiktok.com/@ytboomerna/video/7317373080655924526,2023-12-27 14:24:44
maroucha,686234798745845804,https://www.tiktok.com/@marouchax/video/7317382329683545377,2023-12-27 15:00:37
rhysss,959830358789095456,https://www.tiktok.com/@frenchexitloverr/video/7317387470847380768,2023-12-27 15:20:34
maroucha,686234798745845804,https://www.tiktok.com/@marouchax/video/7317416137593982240,2023-12-27 17:11:49
rhysss,959830358789095456,https://www.tiktok.com/@frenchexitloverr/video/7317452615250431265,2023-12-27 19:33:22
liz.lizard,818584594282184784,https://www.tiktok.com/@lizkalltheway/video/7318170904410869038,2023-12-29 18:00:42
liz.lizard,818584594282184784,https://www.tiktok.com/@lizkalltheway/video/7318179434547252522,2023-12-29 18:33:48
